Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2022-08-18,328.44,330.49,326.79,329.28,41937172.0,13799998000.0,329.28,0.0
2022-08-19,326.17,326.84,322.08,322.86,51770570.0,16765950000.0,322.86,0.0
2022-08-22,318.5,318.74,313.53,314.36,51098890.0,16157746000.0,314.36,0.0
2022-08-23,314.12,317.0,313.33,314.1,39497070.0,12431764000.0,314.1,0.0
2022-08-24,313.61,316.87,312.99,315.01,38057260.0,11988454000.0,315.01,0.0
2022-08-25,316.83,320.6,315.7577,320.58,38098256.0,12114632000.0,320.58,0.0
2022-08-26,320.28,321.51,307.35,307.44,69047740.0,21596342000.0,307.44,0.0
2022-08-29,304.62,307.22,303.28,304.41,48321852.0,14757276000.0,304.41,0.0
2022-08-30,306.1,306.73,298.44,301.02,51184500.0,15423639000.0,301.02,0.0
2022-08-31,303.99,304.91,299.16,299.27,50044040.0,15071522000.0,299.27,0.0
2022-09-01,296.72,299.78,292.95,299.4,57990744.0,17164632000.0,299.4,0.0
2022-09-02,302.34,303.75,293.52,295.17,64666840.0,19287103000.0,295.17,0.0
2022-09-06,295.66,296.6,290.87,293.05,57005444.0,16740334000.0,293.05,0.0
2022-09-07,293.54,299.99,293.27,298.97,49260380.0,14599937000.0,298.97,0.0
2022-09-08,296.85,301.87,295.45,300.52,55649820.0,16630974000.0,300.52,0.0
2022-09-09,302.83,307.6,300.5209,307.09,56125216.0,17152853000.0,307.09,0.0
2022-09-12,308.5,311.08,308.18,310.74,45905736.0,14212900000.0,310.74,0.0
2022-09-13,301.8,303.02,292.785,293.7,79562180.0,23795786000.0,293.7,0.0
2022-09-14,294.865,296.93,293.06,296.03,54907200.0,16196693000.0,296.03,0.0
2022-09-15,294.07,296.53,289.46,291.1,65299412.0,19094210000.0,291.1,0.0
2022-09-16,287.72,289.72,285.62,289.32,79920390.0,23008880000.0,289.32,0.51856
2022-09-19,286.1,291.21,286.04,291.05,52613830.0,15177249000.0,291.05,0.0
2022-09-20,288.49,291.07,286.38,288.73,51271116.0,14804800000.0,288.73,0.0
2022-09-21,289.59,293.95,283.42,283.56,82930960.0,23916091000.0,283.56,0.0
2022-09-22,282.0,283.03,278.815,280.07,62757070.0,17626262000.0,280.07,0.0
2022-09-23,277.55,277.85,272.02,275.51,74815190.0,20584560000.0,275.51,0.0
2022-09-26,275.03,279.49,273.56,274.37,71176696.0,19630710000.0,274.37,0.0
2022-09-27,277.81,280.21,272.11,274.48,69780110.0,19220472000.0,274.48,0.0
2022-09-28,274.46,281.25,272.945,279.94,79652140.0,22056014000.0,279.94,0.0
2022-09-29,275.86,276.25,268.84,271.87,81215960.0,22120940000.0,271.87,0.0
2022-09-30,271.03,275.19,267.1,267.26,78482376.0,21265801000.0,267.26,0.0
2022-10-03,269.07,275.16,267.53,273.53,61267450.0,16656384000.0,273.53,0.0
2022-10-04,278.99,282.85,278.99,282.13,66696932.0,18731231000.0,282.13,0.0
2022-10-05,278.28,283.81,275.42,281.98,55766320.0,15599328000.0,281.98,0.0
2022-10-06,280.96,284.18,279.43,279.76,53489412.0,15034165000.0,279.76,0.0
2022-10-07,275.02,275.15,267.74,269.1,71354670.0,19377533000.0,269.1,0.0
2022-10-10,269.3,269.7,263.64,266.41,60392990.0,16100476000.0,266.41,0.0
2022-10-11,264.7,267.63,261.03,262.75,66522508.0,17568380000.0,262.75,0.0
2022-10-12,263.4,265.36,261.95,262.66,50580180.0,13327759000.0,262.66,0.0
2022-10-13,255.16,270.17,254.26,268.82,112894060.0,29740663000.0,268.82,0.0
2022-10-14,271.2,271.81,260.14,260.74,77244300.0,20430130000.0,260.74,0.0
2022-10-17,266.84,270.24,266.74,269.35,64576452.0,17277549000.0,269.35,0.0
2022-10-18,276.53,277.21,268.74,271.48,69780990.0,18997856000.0,271.48,0.0
2022-10-19,269.93,273.68,268.07,270.49,53115404.0,14369786000.0,270.49,0.0
2022-10-20,269.58,274.84,267.92,269.11,60605496.0,16424033000.0,269.11,0.0
2022-10-21,267.98,275.969,266.8236,275.42,77897700.0,21165232000.0,275.42,0.0
2022-10-24,275.69,279.4,271.97,278.45,63963570.0,17673683000.0,278.45,0.0
